gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,year,numeric_rating,lt,xint
1627.0,2000-10-02,100131,Anacomp Inc.,Corporates,Media & Entertainment,USA,STDLONG,D,CCC,,1,2000,1,462.0043333333333,38.651999999999994
1628.0,2000-04-18,100133,Anaconda Co. (The),Corporates,Metals & Mining,USA,FCLONG,AA+,AA+,,1,2000,22,,
1726.0,2000-04-18,100152,ARCO Pipeline Co.,Corporates,Energy,USA,FCLONG,AA+,AA+,,1,2000,22,,
1786.0,2000-07-28,100168,Arvin Industries Inc.,Corporates,Automobiles & Components,USA,STDLONG,BBB,BBB-,,1,2000,15,1190.4,43.5
,2000-04-18,100185,Atlantic Richfield Overseas Finance N.V.,Corporates,,NLD,FCLONG,AA+,A,,1,2000,22,,
3206.0,2000-10-24,100524,Columbia Energy Group,Corporates,Gas,USA,FCLONG,BBB,BBB,,1,2000,15,5195.2,165.23333333333332
4740.0,2000-03-06,100851,First Union Real Estate Investments,Corporates,Property & Real Estate,USA,STDLONG,B+,BB-,,1,2000,10,422.96600000000007,38.435
61094.0,2000-10-03,101004,Grand Union Co.,Corporates,Retailing,USA,STDLONG,D,CCC,,1,2000,1,788.9200000000001,53.391
5527.0,2000-01-20,101076,Verizon Hawaii Inc.,Corporates,Telecom Services,USA,FCLONG,A+,A+,,1,2000,19,970.3000000000001,38.9
,2000-10-24,101186,Indianapolis Water Co.,Corporates,Water,USA,FCLONG,BBB,BBB,,1,2000,15,,
,2000-05-09,101261,Jones Intercable Inc.,Corporates,Media & Entertainment,USA,STDLONG,BBB,BBB-,,1,2000,15,,
6531.0,2000-12-29,101328,LTV Corp.,Corporates,Metals & Mining,USA,STDLONG,D,B,,1,2000,1,4363.0,44.0
7370.0,2000-12-01,101509,Midland Enterprises Inc.,Corporates,Transportation,USA,FCLONG,BBB,BBB,,1,2000,15,280.7526666666667,12.141666666666666
7658.0,2000-12-11,101592,NL Industries Inc.,Corporates,Commercial & Professional Services,USA,FCLONG,BB-,BB-,,1,2000,11,851.0633333333334,42.399
8184.0,2000-04-26,101754,Oriole Homes Corp.,Corporates,Property & Real Estate,USA,STDLONG,CCC,CCC+,,1,2000,6,74.52433333333333,7.219
8202.0,2000-12-26,101759,Outboard Marine Corp.,Corporates,Media & Entertainment,USA,STDLONG,D,CCC,,1,2000,1,877.75,26.6
8859.0,2000-04-11,101950,Quanex Corp.,Corporates,Metals & Mining,USA,STDLONG,BBB-,BB+,,1,2000,14,390.33033333333333,14.853666666666667
28701.0,2000-03-24,101962,Nestle Purina PetCare Co.,Corporates,Consumer Products,USA,STDLONG,BBB+,BBB+,,1,2000,16,3607.6,179.63333333333333
2006.0,2000-11-30,101971,BancTec Inc.,Corporates,Information Technology,USA,FCLONG,CCC+,CCC+,,1,2000,7,453.47433333333333,23.249
9355.0,2000-12-14,102049,Safeguard Scientifics Inc.,Corporates,Information Technology,USA,STDLONG,B-,,,1,2000,8,728.5203333333334,35.72466666666667
9432.0,2000-12-21,102073,Savannah Electric & Power Co.,Corporates,Electric,USA,STDLONG,A,A+,,1,2000,18,398.1793333333333,14.103333333333333
10391.0,2000-01-28,102276,Tektronix Inc.,Corporates,Information Technology,USA,FCLONG,BB+,BB+,,1,2000,13,601.1993333333334,14.845333333333334
23978.0,2000-05-08,102455,U.S. Steel Corp.,Corporates,Metals & Mining,USA,STDLONG,BBB,BBB-,,1,2000,15,6469.166666666667,167.83333333333334
,2000-10-30,103005,ContiGroup Cos. Inc.,Corporates,Consumer Products,USA,FCLONG,BB-,BB-,,1,2000,11,,
,2000-10-05,104289,Unilever U.S. Inc.,Corporates,Consumer Products,USA,FCLONG,A+,A+,EE|UK,1,2000,19,,
7216.0,2000-06-02,105251,MEDIQ Inc.,Corporates,Health Care,USA,STDLONG,D,CCC-,,1,2000,1,570.9575,41.4945
2169.0,2000-02-02,105748,Bergen Brunswig Corp.,Corporates,Health Care,USA,FCLONG,BB,BB,,1,2000,12,3420.7513333333336,81.71166666666667
29224.0,2000-10-18,106121,United Biscuits (Holdings) Ltd.,Corporates,Consumer Products,GBR,STDLONG,BB-,BB+,,1,2000,11,1234.794,51.88
,2000-10-05,106255,Unilever N.V.,Corporates,Consumer Products,NLD,STDLONG,A+,AAA,,1,2000,19,,
10846.0,2000-10-05,108401,Unilever PLC,Corporates,Consumer Products,GBR,STDLONG,A+,A+,EE|UK,1,2000,19,31359.879999999997,616.7476666666666
7466.0,2000-08-16,109170,Mitchell Energy & Development Corp.,Corporates,Energy,USA,FCLONG,BBB,BBB,,1,2000,15,833.2620000000001,32.778
5924.0,2000-11-10,109387,IWC Resources Corp.,Corporates,Water,USA,FCLONG,BBB,,,1,2000,15,,
10599.0,2000-08-01,109883,Tokheim Corp.,Corporates,Energy,USA,STDLONG,D,CCC+,,1,2000,1,603.378,42.24133333333333
14344.0,2000-04-07,111558,Gulf Canada Resources Ltd.,Corporates,Energy,CAN,FCLONG,BBB-,BBB-,,1,2000,14,2887.6506642796007,143.53900983781048
15424.0,2000-03-01,111702,Eagle Food Centers Inc.,Corporates,Retailing,USA,STDLONG,D,B,,1,2000,1,226.94899999999998,13.068666666666667
14956.0,2000-02-24,112289,SnyderGeneral Corp.,Corporates,Building Materials,USA,STDLONG,B+,BB-,,1,2000,10,,
,2000-07-28,113129,Arvin International (UK) Ltd.,Corporates,Media & Entertainment,USA,STDLONG,BBB,BBB-,,1,2000,15,,
20895.0,2000-06-02,113318,Specialty Retailers Inc.,Corporates,Retailing,USA,STDLONG,D,B-,,1,2000,1,,
,2000-02-10,113704,Pacific Dunlop Holdings Inc.,Corporates,Capital Goods,AUS,STDLONG,BBB+,A-,,1,2000,16,,
19271.0,2000-04-27,113910,Pioneer International Ltd.,Corporates,Building Materials,AUS,STDLONG,BBB+,A-,,1,2000,16,973.8284165067098,37.56311603805567
,2000-11-09,113919,Sterling Jewelers Inc.,Corporates,Retailing,USA,STDLONG,BBB-,BB+,,1,2000,14,,
,2000-07-28,116073,Arvin Overseas Finance B.V.,Corporates,,NLD,STDLONG,BBB,BBB-,,1,2000,15,,
,2000-12-04,116281,Kohl's Department Stores Inc.,Corporates,Retailing,USA,STDLONG,A-,BBB+,,1,2000,17,,
,2000-01-19,116452,Anglian Water PLC,Corporates,Water,GBR,FCLONG,A,A,,1,2000,18,,
,2000-02-10,117001,Pacific Dunlop (USA) Inc.,Corporates,Media & Entertainment,USA,STDLONG,BBB+,A-,,1,2000,16,,
157020.0,2000-11-16,118818,Wheeling-Pittsburgh Corp.,Corporates,Metals & Mining,USA,STDLONG,D,CCC-,,1,2000,1,,
24510.0,2000-02-03,119655,Paging Network Inc.,Corporates,Telecom Services,USA,STDLONG,D,CCC,,1,2000,1,2141.2725,147.3415
