gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,date_column,year,numeric_rating,countryrating,ch,wcap,ICOV,ROA,LDTC,SDTD,OM,Z_score,xint,lt
1279.0,2000-03-17,100039,Allegheny Energy Inc.,Corporates,Electric,USA,FCLONG,A+,,,1,2000-03-17,2000,19,,36.639,-295.50033333333334,3.3632544432942715,0.02750385281635905,0.3340492899183698,0.19215428886441543,0.24176578623995112,1.3088188175750706,185.07966666666667,4618.013666666667
1393.0,2004-06-09,100059,AMERCO,Corporates,Transportation,USA,STDLONG,B+,,,1,2004-06-09,2004,10,20.11111111111111,,,1.1192088144781451,-0.0022297564836753713,0.248696082521875,,0.06208387083766953,,117.625,3208.108666666667
1468.0,2024-05-14,100086,American Greetings Corp.,Corporates,Consumer Products,USA,STDLONG,B,NR,EE|UKE,0,2024-05-14,2024,9,16.573033707865168,,,,,,,,,,
,2006-06-23,100099,American Medical Systems Inc.,Corporates,Health Care,USA,STDLONG,BB-,,,1,2006-06-23,2006,11,19.466666666666665,,,,,,,,,,
179437.0,2006-10-13,100119,American Water Works Co. Inc.,Corporates,Water,USA,STDLONG,A-,,,1,2006-10-13,2006,17,19.466666666666665,65.077,-1085.7851666666668,0.31912854952749237,-0.02741721669834123,0.40418226799569074,0.27620943158690464,0.05221724996794191,,349.624,9037.758
175689.0,2006-09-28,100165,Armstrong World Industries Inc.,Corporates,Building Materials,USA,STDLONG,D,NR,,1,2006-09-28,2006,1,19.466666666666665,559.05,1056.9,8.089285714285715,0.0034149792186824474,0.005511766232118976,0.07780093756078876,0.01922552211783314,,8.4,5971.7
2011.0,2020-09-14,100219,Versant Power,Corporates,Electric,USA,FCLONG,BBB+,,,1,2020-09-14,2020,16,16.573033707865168,,,,,,,,,,
2269.0,2000-11-14,100278,H&R Block Inc.,Corporates,Consumer Products,USA,FCLONG,A,,,1,2000-11-14,2000,18,,491.33233333333334,581.024,5.216394721799518,0.09732365220584822,0.12325906471262514,0.7519574213137119,0.240378033603081,3.5890262460581845,91.69666666666667,2297.1336666666666
2316.0,2023-02-08,100285,Hexion Inc.,Corporates,Chemicals,USA,FCLONG,B-,NR,,1,2023-02-08,2023,8,16.573033707865168,200.0,254.0,0.21,-0.05747126436781609,0.44627686156921537,0.21988046555520604,0.008366533864541833,,100.0,3179.0
2729.0,2001-09-20,100376,Capital Cities/ABC Inc.,Corporates,Media & Entertainment,USA,STDLONG,A,NR,,1,2001-09-20,2001,18,21.285714285714285,,,,,,,,,,
2803.0,2011-04-05,100399,Cascade Natural Gas Corp.,Corporates,Gas,USA,FCLONG,BBB+,NR,,1,2011-04-05,2011,16,15.727272727272727,,,,,,,,,,
162254.0,2022-10-19,100405,Celanese Corp.,Corporates,Chemicals,USA,FCLONG,BBB,,,1,2022-10-19,2022,15,16.573033707865168,651.3333333333334,1367.6666666666667,11.302672314749037,0.1432333382294671,0.33713894273385225,0.29490834419107576,0.17508583716618986,3.382711724430045,114.33333333333333,7010.0
2847.0,2002-05-23,100412,Central and South West Corp.,Corporates,Electric,USA,STDLONG,BBB+,,,1,2002-05-23,2002,16,21.285714285714285,270.0,-1085.7851666666668,,0.032834345431436235,0.2938348416289593,0.32377401778032694,0.19324543976882788,,455.0,10461.0
135484.0,2021-05-03,100491,Frontier Communications Corp.,Corporates,Telecom Services,USA,FCLONG,B-,NR,,1,2021-05-03,2021,8,16.573033707865168,981.0,-1085.7851666666668,1.1736030648601743,-0.12970557183653497,0.5531348040322277,0.19111589301886212,0.1748831473775233,-0.033056023680868594,1277.6666666666667,21878.666666666668
3394.0,2003-09-22,100567,Connecticut Water Service Inc.,Corporates,Water,USA,STDLONG,A,,,1,2003-09-22,2003,18,21.285714285714285,0.276,-2.6856666666666666,3.5008490991701375,0.03551524143665385,0.27450632416648163,0.07348503049577042,0.3619059763311694,1.0408865359382469,4.569,164.59400000000002
3480.0,2007-10-22,100591,Ceridian LLC,Corporates,Commercial & Professional Services,USA,STDLONG,B,NR,,1,2007-10-22,2007,9,19.058823529411764,283.6666666666667,377.6333333333334,33.311616161616165,0.016754672632212853,0.012711794529864684,0.11472011073998507,0.12277334409511466,0.8459401121792306,5.3,5271.633333333333
3734.0,2008-02-08,100633,Dana Inc.,Corporates,Automobiles & Components,USA,STDLONG,BB-,NR,,1,2008-02-08,2008,11,19.058823529411764,995.0,203.33333333333334,0.03449933571078945,-0.13760112343061892,0.005161309004337025,0.47255977347367284,-0.0010153088767837052,1.2236851002975773,128.83333333333334,7118.666666666667
4194.0,2013-10-14,100713,Eastman Kodak Co.,Corporates,Information Technology,USA,FCLONG,B-,NR,,1,2013-10-14,2013,8,16.573033707865168,1091.2001149302732,664.3333333333334,-1.174634408020484,-0.19831051841652136,0.21860757919033524,0.3191601854962646,-0.04662450559148998,1.528454655430668,152.66666666666666,7435.0
4462.0,2003-04-02,100759,NewMarket Corp.,Corporates,Chemicals,USA,STDLONG,B+,NR,,1,2003-04-02,2003,10,21.285714285714285,10.776666666666666,120.82133333333333,0.44760107802769533,-0.023322772403830728,0.38672244883613344,0.27024225871029367,0.01900231754897871,1.513960478866699,31.563666666666666,606.577
,2008-01-03,100791,Federal-Mogul Corp.,Corporates,Automobiles & Components,USA,STDLONG,BB-,,,1,2008-01-03,2008,11,19.058823529411764,,,,,,,,,,
,2011-01-14,100863,Florida East Coast Railway Corp.,Corporates,Transportation,USA,STDLONG,B,,,1,2011-01-14,2011,9,15.727272727272727,,,,,,,,,,
16878.0,2014-12-01,100891,Real Industry Inc.,Corporates,Metals & Mining,USA,FCLONG,B,NR,,1,2014-12-01,2014,9,16.573033707865168,51.339333333333336,,,,0.27956420256260833,0.2367269074238001,,,3.996333333333333,62.28933333333333
5046.0,2023-10-24,100924,General Dynamics Corp.,Corporates,Aerospace & Defense,USA,FCLONG,A-,NR,,1,2023-10-24,2023,17,16.573033707865168,,1442.189,9.626898808923492,0.06416235979935457,0.22114858200983634,0.44782307686520767,0.108018146631361,3.021620326925175,437.0,33698.666666666664
160785.0,2021-07-12,101020,Viad Corp.,Corporates,Commercial & Professional Services,USA,FCLONG,B,,,1,2021-07-12,2021,9,16.573033707865168,48.812333333333335,-156.71466666666666,1.9487213906593581,-0.12281312861184379,0.2139159306892823,0.5775349283401779,-0.07785361391114246,1.7162949343582483,14.034333333333334,592.166
