gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,numeric_rating,year,countryrating,ch,wcap,ROA,ICOV,LDTC,SDTD,OM,Z_score
,2001-08-03,1894,Massachusetts Development Finance Agency,Financial Institutions,Government Agencies,USA,STDLONG,A,,,1,18,2001,21.285714285714285,,,,,,,,
7769.0,2003-04-23,13879,National Rural Utilities Cooperative Finance Corp.,Financial Institutions,Finance Company,USA,STDLONG,A,,,1,18,2003,17.0,,,0.015334454429228128,1.0757349206658928,0.7981966862424313,,0.8672685512342454,
149738.0,2010-04-29,100338,CIT Group Inc.,Financial Institutions,Holding Company,USA,STDLONG,B+,NR,,1,10,2010,13.353658536585366,5482.533333333333,,,,0.6120363164230901,,,
24563.0,2018-06-12,100351,Credit Agricole S.A.,Financial Institutions,Bank,FRA,STDLONG,A+,,,1,19,2018,16.68421052631579,3641.7299266983878,,0.001762222568958486,1.3854603990647683,0.10433349699974519,,0.6653681914132066,
3238.0,2009-12-04,100537,Commerce Bancshares Inc.,Financial Institutions,Holding Company,USA,STDLONG,A,,,1,18,2009,14.695652173913043,597.1013333333334,,,,0.05552995936847797,,,
15546.0,2018-06-12,100607,Credit Foncier de France,Financial Institutions,Bank,FRA,STDLONG,A,,,1,18,2018,16.68421052631579,,,,,,,,
15547.0,2018-06-12,100608,Natixis S.A.,Financial Institutions,Bank,FRA,FCLONG,A+,,,1,19,2018,16.68421052631579,6048.011051669224,,0.0026862665326509456,1.9565516327089014,0.0514271191088218,,0.4427013589042772,
15576.0,2016-07-08,100661,Deutsche Bank AG,Financial Institutions,Bank,DEU,TURLONG,trAAA,,,1,23,2016,16.13157894736842,6048.011051669224,,,,0.08152403863316939,,,
,2021-06-07,101088,Hertz Corp. (The),Financial Institutions,Finance Company,USA,FCLONG,B,NR,,1,9,2021,13.899082568807339,,,,,,,,
233329.0,2001-06-25,101251,Development Bank of Japan Inc.,Financial Institutions,Bank,JPN,FCLONG,AA,,,1,21,2001,,,,,,,,,
7253.0,2003-04-08,101479,Mercantile Bankshares Corp.,Financial Institutions,Holding Company,USA,FCLONG,A+,,,1,19,2003,17.0,272.0733333333333,,,,0.02052018565910876,,,
23163.0,2018-06-12,101508,HSBC Bank PLC,Financial Institutions,Bank,GBR,STDLONG,AA-,,EE|UK,0,20,2018,18.973469387755102,,,,,,,,
13294.0,2018-06-12,101631,National Westminster Bank PLC,Financial Institutions,Bank,GBR,STDLONG,A,,,1,18,2018,18.973469387755102,6048.011051669224,,0.00033284372677987346,3.674960270798081,0.022953583796951962,,0.44704794731151004,
,2018-06-12,101958,Cooperatieve Rabobank U.A.,Financial Institutions,Bank,NLD,FCLONG,AA-,,EU|UKE,0,20,2018,21.727272727272727,,,,,,,,
,2018-06-12,102647,NatWest Markets N.V.,Financial Institutions,Bank,NLD,FCLONG,A-,,,1,17,2018,21.727272727272727,,,,,,,,
15528.0,2018-06-12,102748,Bank of Scotland PLC,Financial Institutions,Bank,GBR,STDLONG,AA-,,EE|UK,0,20,2018,18.973469387755102,,,,,,,,
163163.0,2018-06-29,102753,Deutsche Bank Trust Co. Americas,Financial Institutions,Bank,USA,FCLONG,BBB+,,,1,16,2018,13.899082568807339,,,,,,,,
15532.0,2018-06-12,102754,BNP Paribas,Financial Institutions,Bank,FRA,STDLONG,A+,,,1,19,2018,16.68421052631579,6048.011051669224,,,,0.11048106470456642,,,
,2018-06-12,102911,JPMorgan Chase Bank N.A.,Financial Institutions,Bank,USA,STDLONG,A+,,,1,19,2018,13.899082568807339,,,,,,,,
16400.0,2001-06-14,102921,Nordea Bank Norge ASA,Financial Institutions,Bank,NOR,STDLONG,A+,,,1,19,2001,12.5,304.71859455054823,,0.011867473540475883,0.6437066888910445,0.21981706786602684,,0.3931738002622911,
,2018-06-12,102929,Citibank N.A.,Financial Institutions,Bank,USA,STDLONG,A+,,EE|UKE,0,19,2018,13.899082568807339,,,,,,,,
,2008-06-04,102972,Commerce Bank,Financial Institutions,Bank,USA,STDLONG,A+,NR,,1,19,2008,17.263157894736842,,,,,,,,
259797.0,2018-06-12,103026,Countrywide Home Loans Inc.,Financial Institutions,Finance Company,USA,STDLONG,A-,,,1,17,2018,13.899082568807339,,,,,,,,
15482.0,2018-06-12,103034,Credit Lyonnais,Financial Institutions,Bank,FRA,FCLONG,A+,,,1,19,2018,16.68421052631579,932.6824516522092,,0.0022760152833828976,1.2379722774551414,0.0503180278547515,,0.5529373616501991,
15552.0,2018-06-29,103071,Danske Bank A/S,Financial Institutions,Bank,DNK,FCLONG,A+,,,1,19,2018,23.0,6048.011051669224,,,,0.3355160150766874,,,
,2011-06-03,103370,Goldman Sachs & Co. LLC,Financial Institutions,Brokerage Company,USA,STDLONG,A+,,,1,19,2011,12.896907216494846,,,,,,,,
,2012-01-06,103398,Hancock Whitney Bank,Financial Institutions,Bank,USA,STDLONG,A-,,,1,17,2012,13.899082568807339,,,,,,,,
,2018-04-24,103595,Lloyds Bank International Ltd.,Financial Institutions,Bank,JEY,FCLONG,A-,,,1,17,2018,17.5,,,,,,,,
,2018-06-12,103626,HSBC Bank USA N.A.,Financial Institutions,Bank,USA,FCLONG,AA-,,,1,20,2018,13.899082568807339,,,,,,,,
,2011-07-08,103673,"Merrill Lynch, Pierce, Fenner & Smith Inc.",Financial Institutions,Brokerage Company,USA,FCLONG,A+,,,1,19,2011,12.896907216494846,,,,,,,,
,2018-06-12,104003,NatWest Markets PLC,Financial Institutions,Bank,GBR,FCLONG,A-,,,1,17,2018,18.973469387755102,,,,,,,,
15671.0,2018-06-29,104092,Skandinaviska Enskilda Banken AB (publ),Financial Institutions,Bank,SWE,FCLONG,AA-,,EU|UKE,0,20,2018,15.979310344827587,5096.800905615287,,0.005680370481210163,2.270963971068521,0.18611316864041613,,0.6347483332518503,
15784.0,2018-06-12,104102,Societe Generale,Financial Institutions,Bank,FRA,STDLONG,A+,,EU|UKE,0,19,2018,16.68421052631579,6048.011051669224,,,,0.08873598008961257,,,
,2018-06-12,104157,State Street Bank and Trust Co.,Financial Institutions,Bank,USA,STDLONG,AA-,,EE|UKE,0,20,2018,13.899082568807339,,,,,,,,
24578.0,2018-06-29,104201,Swedbank AB,Financial Institutions,Bank,SWE,STDLONG,AA-,,EU|UKE,0,20,2018,15.979310344827587,6048.011051669224,,,,0.3931887296389738,,,
24577.0,2011-01-18,104371,Portigon AG,Financial Institutions,Bank,DEU,STDLONG,BBB+,NR,,1,16,2011,15.830188679245284,109.31050338572737,,,1.0116645950613798,0.35474937226346176,,0.8088718701714255,
105547.0,2018-04-30,104471,Barclays Bank PLC,Financial Institutions,Bank,GBR,FCLONG,A+,,,1,19,2018,18.973469387755102,6048.011051669224,,,,0.08209499060985487,,,
162140.0,2018-06-12,105454,Wells Fargo Bank N.A.,Financial Institutions,Bank,USA,FCLONG,A+,,EE|UKE,0,19,2018,13.899082568807339,,,,,,,,
,2018-06-12,105734,Bank of New York Mellon (The),Financial Institutions,Bank,USA,FCLONG,AA-,,EE|UKE,0,20,2018,13.899082568807339,,,,,,,,
30519.0,2018-06-12,105740,Credit Agricole Corporate and Investment Bank,Financial Institutions,Bank,FRA,FCLONG,A+,,,1,19,2018,16.68421052631579,,,,,,,,
,2016-07-28,105841,Freedom Mortgage Corp.,Financial Institutions,Finance Company,USA,STDLONG,B,,,1,9,2016,13.899082568807339,,,,,,,,
,2018-06-12,105940,Bank of America N.A.,Financial Institutions,Bank,USA,FCLONG,A+,,EE|UKE,0,19,2018,13.899082568807339,,,,,,,,
23904.0,2000-07-20,106114,HSBC Continental Europe,Financial Institutions,Bank,FRA,FCLONG,AA-,,,1,20,2000,,4459.002406737294,,,0.23288280362761996,0.09960518344803627,,0.1598404124085694,
,2018-06-12,106141,Citigroup Global Markets Inc.,Financial Institutions,Brokerage Company,USA,FCLONG,A+,,EE|UKE,0,19,2018,13.899082568807339,,,,,,,,
,2018-06-25,106223,UBS AG (New York Branch),Financial Institutions,Bank,USA,FCLONG,AA-,,EU|UKE,0,20,2018,13.899082568807339,,,,,,,,
15483.0,2004-09-28,107114,Daiwa Securities Group Inc.,Financial Institutions,Holding Company,JPN,FCLONG,BBB,,,1,15,2004,19.12,3819.636467765468,,-0.004477595635466265,1.08983298320862,0.07108716388009617,,0.327274788309647,
,2001-05-31,107115,Hongkong and Shanghai Banking Corp. Ltd. (The),Financial Institutions,Bank,HKG,FCLONG,A+,,,1,19,2001,,,,,,,,,
,2018-06-12,107124,Bank of Ireland,Financial Institutions,Bank,IRL,STDLONG,BBB+,,,1,16,2018,12.902439024390244,,,,,,,,
15575.0,2018-06-29,107128,Commerzbank AG,Financial Institutions,Bank,DEU,FCLONG,A,,,1,18,2018,16.13157894736842,6048.011051669224,,0.0009731001847530749,1.312069262903789,0.11725562164063741,,0.44467144320281227,
15573.0,2018-06-12,107299,ING Belgium S.A./N.V.,Financial Institutions,Bank,BEL,FCLONG,AA-,,,1,20,2018,18.884615384615383,,,,,,,,
21391.0,2018-06-12,107304,Banque Internationale a Luxembourg,Financial Institutions,Bank,LUX,STDLONG,A,,EU|UKE,0,18,2018,,,,,,,,,
15616.0,2005-10-31,107370,Nikko Securities Co. Ltd.,Financial Institutions,Brokerage Company,JPN,FCLONG,BBB+,NR,,1,16,2005,19.192307692307693,4297.988062993492,,0.002721340496794881,2.6101983313704533,0.08791992513175784,,0.25904814736274084,
,2000-11-03,107415,American Express Overseas Credit Corp. Ltd.,Financial Institutions,Finance Company,JEY,FCLONG,A+,,,1,19,2000,,,,,,,,,
25258.0,2000-06-20,107431,KEB Hana Bank,Financial Institutions,Bank,KOR,FCLONG,B+,,,1,10,2000,,4291.534959708005,,-0.011724006379851118,0.21388559221854334,0.2777628017553473,,0.15594224500984075,
24567.0,2018-06-12,107490,Credit Industriel et Commercial,Financial Institutions,Bank,FRA,FCLONG,A+,,,1,19,2018,16.68421052631579,6048.011051669224,,0.004684298486563494,1.3177029821369295,0.2911115270107714,,0.6974387018920734,
,2018-06-12,107496,BNY Mellon N.A.,Financial Institutions,Bank,USA,FCLONG,AA-,,EE|UKE,0,20,2018,13.899082568807339,,,,,,,,
,2001-09-19,107828,Banca del Gottardo,Financial Institutions,Bank,CHE,STDLONG,A,,,1,18,2001,19.6,,,,,,,,
21447.0,2002-09-09,107905,OP Corporate Bank PLC,Financial Institutions,Bank,FIN,STDLONG,A+,,,1,19,2002,,396.06542602297617,,0.006245059288537549,0.8754264375344277,0.12664275826492735,,0.5044884682636881,
269313.0,2001-03-19,108307,Aozora Bank Ltd.,Financial Institutions,Bank,JPN,STDLONG,BBpi,,,1,12,2001,,,,,,,,,
184130.0,2018-06-12,108416,Lloyds Bank PLC,Financial Institutions,Bank,GBR,STDLONG,AA-,,EE|UK,0,20,2018,18.973469387755102,,,,,,,,
15654.0,2018-06-29,108427,Svenska Handelsbanken AB,Financial Institutions,Bank,SWE,STDLONG,AA-,,EU|UKE,0,20,2018,15.979310344827587,6048.011051669224,,0.006139125030983658,2.6071892496502698,0.4327826839336813,,0.6307908421427494,
260750.0,2018-06-12,108539,BNP Paribas Fortis SA/NV,Financial Institutions,Bank,BEL,STDLONG,A+,,,1,19,2018,18.884615384615383,6048.011051669224,,0.006128887762530119,1.9527027163157935,0.14278609624559227,,0.5424065361633287,
,2011-04-26,109081,Morgan Stanley & Co. LLC,Financial Institutions,Brokerage Company,USA,FCLONG,A+,,,1,19,2011,12.896907216494846,,,,,,,,
,2006-11-22,109174,AIG Capital Corp.,Financial Institutions,Finance Company,USA,STDLONG,A+,,,1,19,2006,17.41176470588235,,,,,,,,
200705.0,2000-06-26,109245,DNB Bank ASA,Financial Institutions,Bank,NOR,FCLONG,A,,,1,18,2000,,,,,,,,,
,2019-02-28,109556,Mizuho Bank Europe N.V.,Financial Institutions,Bank,NLD,FCLONG,A,NR,,1,18,2019,21.727272727272727,,,,,,,,
,2021-03-30,109596,First-Citizens Bank & Trust Co.,Financial Institutions,Bank,USA,STDLONG,BBB+,NR,,1,16,2021,13.899082568807339,,,,,,,,
,2006-01-23,109599,Banque Federale des Banques Populaires,Financial Institutions,Bank,FRA,STDLONG,AA-,,,1,20,2006,16.24,,,,,,,,
,2018-06-12,110013,BNY Mellon Trust of Delaware,Financial Institutions,Bank,USA,STDLONG,AA-,,EE|UKE,0,20,2018,13.899082568807339,,,,,,,,
15549.0,2018-06-12,110053,UniCredit SpA,Financial Institutions,Bank,ITA,FCLONG,BBB+,,,1,16,2018,16.079734219269103,6048.011051669224,,-0.0030351669402957655,0.9864238804302573,0.17767638172918185,,0.21153924614640895,
296895.0,2009-05-21,110068,DBS Bank Ltd.,Financial Institutions,Bank,SGP,ASNLONG,axAAA,,,1,23,2009,,6048.011051669224,,0.009587987997738336,1.6774514834113328,0.036773564938521554,,0.7544659895699352,
,2003-09-11,110159,Hokuriku Bank Ltd.,Financial Institutions,Bank,JPN,FCLONG,BB+,,,1,13,2003,19.12,,,,,,,,
,2001-03-30,110321,Federal Home Loan Bank of Atlanta,Financial Institutions,Finance Company,USA,FCLONG,AAA,,,1,23,2001,21.285714285714285,,,,,,,,
17095.0,2009-11-16,110338,Old National Bancorp,Financial Institutions,Holding Company,USA,STDLONG,BBB,NR,,1,15,2009,14.695652173913043,209.46266666666668,,,,0.08734757370595314,,,
,2009-11-16,110362,Old National Bank,Financial Institutions,Bank,USA,STDLONG,BBB+,NR,,1,16,2009,14.695652173913043,,,,,,,,
,2018-06-12,110647,Rabohypotheekbank N.V.,Financial Institutions,Bank,NLD,FCLONG,AA-,,,1,20,2018,21.727272727272727,,,,,,,,
,2004-04-27,111231,Export Finance Australia,Financial Institutions,Finance Company,AUS,FCLONG,AAA,,,1,23,2004,17.61764705882353,,,,,,,,
,2014-09-05,111242,World Omni Financial Corp.,Financial Institutions,Finance Company,USA,STDLONG,BBB+,,,1,16,2014,13.899082568807339,,,,,,,,
,2018-06-12,111538,Chase Bank U.S. N.A.,Financial Institutions,Bank,USA,STDLONG,A+,,,1,19,2018,13.899082568807339,,,,,,,,
,2018-06-12,111635,Standard Chartered Bank,Financial Institutions,Bank,GBR,FCLONG,A+,,,1,19,2018,18.973469387755102,,,,,,,,
203666.0,2004-04-28,111683,State Bank of India,Financial Institutions,Bank,IND,FCLONG,BB,,,1,12,2004,12.4,5133.818907901928,,0.010040192910565989,0.2218346804480337,0.03514511074955078,,0.11999797943361347,
,2018-06-12,111703,Allied Irish Banks PLC,Financial Institutions,Bank,IRL,STDLONG,BBB,,,1,15,2018,12.902439024390244,,,,,,,,
257360.0,2018-06-29,111914,UniCredit Bank Austria AG,Financial Institutions,Bank,AUT,STDLONG,A-,,,1,17,2018,19.36,941.508937242716,,,1.6118911469857258,0.26661902712632934,,0.42722501573387756,
,2000-02-18,111972,Bank of the West,Financial Institutions,Bank,USA,STDLONG,A-,,,1,17,2000,,,,,,,,,
,2008-05-01,112055,RBC Bank (U.S.A.),Financial Institutions,Holding Company,USA,STDLONG,A,,,1,18,2008,17.263157894736842,,,,,,,,
,2001-06-28,112082,Associated Bank N.A.,Financial Institutions,Bank,USA,STDLONG,A-,,,1,17,2001,21.285714285714285,,,,,,,,
16492.0,2012-04-26,112102,Penske Truck Leasing Co. L.P.,Financial Institutions,Finance Company,USA,FCLONG,BBB-,,,1,14,2012,13.899082568807339,,,,,,,,
,2005-10-04,112563,Bank of New York Mellon Trust Co. N.A. (The),Financial Institutions,Bank,USA,STDLONG,AA-,,,1,20,2005,17.25,,,,,,,,
,2018-06-29,112584,Deutsche Bank National Trust Co.,Financial Institutions,Bank,USA,STDLONG,BBB+,,,1,16,2018,13.899082568807339,,,,,,,,
,2001-01-24,112793,DIAC S.A.,Financial Institutions,Bank,FRA,STDLONG,BBB+,,,1,16,2001,16.333333333333332,,,,,,,,
,2000-06-09,113046,American Savings Bank FSB,Financial Institutions,Bank,USA,FCLONG,BBB-,,,1,14,2000,,,,,,,,,
4699.0,2000-10-09,113415,M&T Bank Corp.,Financial Institutions,Holding Company,USA,FCLONG,BBB+,,,1,16,2000,,473.4506666666666,,,,0.058901009309662855,,,
,2008-11-05,113487,Nykredit Realkredit A/S,Financial Institutions,Bank,DNK,STDLONG,A+,,,1,19,2008,23.0,,,,,,,,
14140.0,2018-06-12,113544,Banco Santander S.A.,Financial Institutions,Bank,ESP,FCLONG,A+,,,1,19,2018,14.560773480662984,6048.011051669224,,,,0.1649194425198547,,,
,2018-06-29,113658,Deutsche Bank Trust Co. Delaware,Financial Institutions,Bank,USA,FCLONG,BBB+,,,1,16,2018,13.899082568807339,,,,,,,,
,2013-01-16,113682,Deutsche Bank AG (London Branch),Financial Institutions,Branch,GBR,STDLONG,A+,,,1,19,2013,18.34065934065934,,,,,,,,
268025.0,2021-05-12,114330,Santander Financial Services PLC,Financial Institutions,Bank,GBR,STDLONG,A-,,,1,17,2021,18.49587912087912,6048.011051669224,,,,0.0,,,
21382.0,2018-06-12,114331,Santander UK PLC,Financial Institutions,Bank,GBR,STDLONG,A+,,EE|UK,0,19,2018,18.973469387755102,6048.011051669224,,,,0.17271264580722476,,,
15673.0,2018-06-25,114352,Credit Suisse AG,Financial Institutions,Bank,CHE,FCLONG,A+,,,1,19,2018,19.11320754716981,,,,,,,,
,2020-02-28,114507,SBAB Bank AB (publ),Financial Institutions,Bank,SWE,STDLONG,A+,,,1,19,2020,15.897435897435898,,,,,,,,
211457.0,2006-11-17,114840,Raiffeisen Zentralbank Oesterreich AG,Financial Institutions,Bank,AUT,STDLONG,A+,,,1,19,2006,15.727272727272727,,,,,,,,
,2009-07-08,114922,Swedbank Mortgage AB,Financial Institutions,Bank,SWE,STDLONG,A,,,1,18,2009,17.455882352941178,,,,,,,,
,2018-06-12,114976,Banque Federative du Credit Mutuel,Financial Institutions,Bank,FRA,FCLONG,A+,,,1,19,2018,16.68421052631579,,,,,,,,
,2012-08-24,115164,Hyundai Capital America,Financial Institutions,Finance Company,USA,STDLONG,BBB+,,,1,16,2012,13.899082568807339,,,,,,,,
,2001-11-08,115246,Ashikaga Bank Ltd.,Financial Institutions,Bank,JPN,STDLONG,Bpi,NR,,1,9,2001,,,,,,,,,
,2002-03-04,115845,Britannia Building Society,Financial Institutions,Bank,GBR,STDLONG,A,,,1,18,2002,19.263157894736842,,,,,,,,
,2000-09-12,115857,Nordea Bank Danmark A/S,Financial Institutions,Bank,DNK,FCLONG,A+,,,1,19,2000,,,,,,,,,
,2015-11-09,115951,Sumitomo Mitsui Banking Corp. of Canada,Financial Institutions,Bank,CAN,STDLONG,A,,,1,18,2015,18.815363881401616,,,,,,,,
30515.0,2000-01-06,115960,Nationwide Building Society,Financial Institutions,Bank,GBR,STDLONG,A+,,,1,19,2000,,246.7095794063927,,,0.42596308947181877,0.04301635562672676,,0.3015022810073846,
,2019-11-06,116099,Pershing LLC,Financial Institutions,Brokerage Company,USA,FCLONG,A+,,EE|UKE,0,19,2019,13.899082568807339,,,,,,,,
137135.0,2001-04-30,116117,HSBC Bank Canada,Financial Institutions,Bank,CAN,STDLONG,A+,,,1,19,2001,17.68,,,,,,,,
260841.0,2018-06-12,116373,ING Bank N.V.,Financial Institutions,Bank,NLD,FCLONG,AA-,,EU|UKE,0,20,2018,21.727272727272727,,,,,,,,
,2011-10-27,116399,TD Securities (USA) LLC,Financial Institutions,Brokerage Company,USA,STDLONG,AA-,,,1,20,2011,12.896907216494846,,,,,,,,
,2018-06-25,116415,Credit Suisse International,Financial Institutions,Bank,GBR,STDLONG,A+,,,1,19,2018,18.973469387755102,,,,,,,,
,2017-06-07,116642,Synchrony Bank,Financial Institutions,Bank,USA,FCLONG,BBB,NR,,1,15,2017,13.899082568807339,,,,,,,,
,2002-02-21,116808,FIL Ltd.,Financial Institutions,Asset Manager,BMU,STDLONG,A,,,1,18,2002,,,,,,,,,
,2001-01-24,117051,RCI Banque,Financial Institutions,Bank,FRA,STDLONG,BBB+,,,1,16,2001,16.333333333333332,,,,,,,,
,2002-08-13,117234,Investors Bank & Trust Co.,Financial Institutions,Holding Company,USA,STDLONG,A,,,1,18,2002,17.0,,,,,,,,
,2001-02-12,117922,Caixa Geral de Depositos S.A.,Financial Institutions,Bank,PRT,STDLONG,A+,,,1,19,2001,,,,,,,,,
23848.0,2018-06-29,118431,Banco Comercial Portugues S.A.,Financial Institutions,Bank,PRT,FCLONG,BB+,,,1,13,2018,13.324675324675324,1198.178853973765,,0.001894199965999793,1.125095655568265,0.11088536384528297,,0.2942728473447745,
,2003-09-16,118450,Chiao Tung Bank,Financial Institutions,Bank,TWN,TAIWALONG,twAA,,,1,21,2003,20.166666666666668,,,,,,,,
15846.0,2022-11-25,118467,Bankinter S.A.,Financial Institutions,Bank,ESP,FCLONG,A,,EU|UKE,0,18,2022,14.805104408352669,6048.011051669224,,0.003912819693931397,3.961959557117559,0.08155332764516755,,0.3334817274624366,
15617.0,2000-04-25,118521,ING Groep N.V.,Financial Institutions,Holding Company,NLD,FCLONG,AA-,,,1,20,2000,,,,0.007787586050921779,,0.07952145745626478,,0.08843112291464532,
219611.0,2018-06-12,118691,Caisse Regionale de Credit Agricole Mutuel du Morbihan,Financial Institutions,Bank,FRA,STDLONG,A+,,,1,19,2018,16.68421052631579,175.16210690429796,,0.005430385888324017,1.5822823507714385,0.05794077821056695,,0.5813697335881253,
,2013-11-01,118914,American Beacon Advisors Inc.,Financial Institutions,Asset Manager,USA,FCLONG,BB-,,,1,11,2013,13.899082568807339,,,,,,,,
,2018-06-12,118929,Caisse Regionale de Credit Agricole Mutuel du Finistere,Financial Institutions,Bank,FRA,FCLONG,A+,,,1,19,2018,16.68421052631579,,,,,,,,
,2018-06-12,118930,Caisse Regionale de Credit Agricole Mutuel du Nord-Est,Financial Institutions,Bank,FRA,FCLONG,A+,,,1,19,2018,16.68421052631579,,,,,,,,
,2014-08-13,118938,Morgan Stanley MUFG Securities Co. Ltd.,Financial Institutions,Brokerage Company,JPN,FCLONG,A,,,1,18,2014,17.96808510638298,,,,,,,,
,2008-10-31,119386,Barclays Bank S.A.U.,Financial Institutions,Bank,ESP,STDLONG,AA,,,1,21,2008,18.83582089552239,,,,,,,,
