gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,date_column,year,numeric_rating,countryrating
1279.0,2000-03-17,100039,Allegheny Energy Inc.,Corporates,Electric,USA,FCLONG,A+,,,N,2000-03-17,2000,19,
1393.0,2004-06-09,100059,AMERCO,Corporates,Transportation,USA,STDLONG,B+,,,N,2004-06-09,2004,10,20.11111111111111
1468.0,2024-05-14,100086,American Greetings Corp.,Corporates,Consumer Products,USA,STDLONG,B,NR,EE|UKE,Y,2024-05-14,2024,9,16.573033707865168
,2006-06-23,100099,American Medical Systems Inc.,Corporates,Health Care,USA,STDLONG,BB-,,,N,2006-06-23,2006,11,19.466666666666665
179437.0,2006-10-13,100119,American Water Works Co. Inc.,Corporates,Water,USA,STDLONG,A-,,,N,2006-10-13,2006,17,19.466666666666665
175689.0,2006-09-28,100165,Armstrong World Industries Inc.,Corporates,Building Materials,USA,STDLONG,D,NR,,N,2006-09-28,2006,1,19.466666666666665
2011.0,2020-09-14,100219,Versant Power,Corporates,Electric,USA,FCLONG,BBB+,,,N,2020-09-14,2020,16,16.573033707865168
2269.0,2000-11-14,100278,H&R Block Inc.,Corporates,Consumer Products,USA,FCLONG,A,,,N,2000-11-14,2000,18,
2316.0,2023-02-08,100285,Hexion Inc.,Corporates,Chemicals,USA,FCLONG,B-,NR,,N,2023-02-08,2023,8,16.573033707865168
2729.0,2001-09-20,100376,Capital Cities/ABC Inc.,Corporates,Media & Entertainment,USA,STDLONG,A,NR,,N,2001-09-20,2001,18,21.285714285714285
2803.0,2011-04-05,100399,Cascade Natural Gas Corp.,Corporates,Gas,USA,FCLONG,BBB+,NR,,N,2011-04-05,2011,16,15.727272727272727
162254.0,2022-10-19,100405,Celanese Corp.,Corporates,Chemicals,USA,FCLONG,BBB,,,N,2022-10-19,2022,15,16.573033707865168
2847.0,2002-05-23,100412,Central and South West Corp.,Corporates,Electric,USA,STDLONG,BBB+,,,N,2002-05-23,2002,16,21.285714285714285
135484.0,2021-05-03,100491,Frontier Communications Corp.,Corporates,Telecom Services,USA,FCLONG,B-,NR,,N,2021-05-03,2021,8,16.573033707865168
3394.0,2003-09-22,100567,Connecticut Water Service Inc.,Corporates,Water,USA,STDLONG,A,,,N,2003-09-22,2003,18,21.285714285714285
3480.0,2007-10-22,100591,Ceridian LLC,Corporates,Commercial & Professional Services,USA,STDLONG,B,NR,,N,2007-10-22,2007,9,19.058823529411764
